price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
22900,2013,dodge,,6 cylinders,gas,68228,clean,automatic,fwd,,silver
24997,2014,mercedes-benz,,8 cylinders,gas,82553,clean,automatic,,SUV,blue
6700,2011,nissan,excellent,6 cylinders,gas,184000,clean,automatic,,,silver
26500,2019,nissan,,,gas,9975,clean,automatic,,,red
27988,2020,nissan,,,gas,15139,clean,automatic,,,blue
20870,2019,infiniti,,,gas,29938,clean,automatic,fwd,,red
26988,2018,nissan,,,gas,24274,clean,automatic,4wd,,white
19990,2017,subaru,good,,gas,10309,clean,other,,sedan,white
19877,2011,ram,,,diesel,183284,clean,automatic,,,white
11977,2015,gmc,,,gas,106591,clean,automatic,fwd,,silver
29998,2014,mercedes-benz,,8 cylinders,gas,57406,clean,automatic,rwd,sedan,grey
0,2018,mercedes-benz,,4 cylinders,gas,34099,clean,automatic,rwd,sedan,black
12895,1991,chevrolet,,8 cylinders,gas,43725,clean,automatic,rwd,hatchback,
3650,1999,jeep,,6 cylinders,gas,151379,clean,automatic,rwd,SUV,blue
8500,2006,rover,good,8 cylinders,gas,139445,clean,automatic,4wd,SUV,white
3299,2003,chevrolet,,4 cylinders,gas,176354,clean,automatic,fwd,coupe,
4499,2005,toyota,,4 cylinders,gas,170687,clean,automatic,fwd,sedan,blue
0,2017,ford,,6 cylinders,gas,82254,clean,automatic,rwd,SUV,black
5940,2011,kia,,4 cylinders,gas,163385,,manual,rwd,wagon,white
3999,2009,volvo,,5 cylinders,gas,182005,clean,automatic,fwd,sedan,silver
8980,2011,jeep,,6 cylinders,,173787,,manual,rwd,SUV,silver
4950,2001,toyota,,6 cylinders,gas,266000,clean,automatic,rwd,SUV,white
4980,2010,chevrolet,,6 cylinders,gas,208122,,manual,rwd,SUV,silver
4400,2006,buick,,6 cylinders,gas,124201,clean,automatic,fwd,sedan,white
8980,2010,dodge,,8 cylinders,gas,207260,,automatic,rwd,sedan,black
33590,2014,toyota,good,,other,55251,clean,other,,pickup,red
39590,2020,ford,good,8 cylinders,gas,1419,clean,other,rwd,coupe,white
26590,2017,honda,good,6 cylinders,gas,13836,clean,other,,other,blue
21990,2018,buick,good,,gas,4988,clean,other,fwd,sedan,white
19990,2017,hyundai,good,,hybrid,29254,clean,manual,fwd,sedan,white
30990,2019,ford,good,,other,1834,clean,other,,pickup,black
6980,2006,nissan,,6 cylinders,gas,146779,,automatic,rwd,SUV,silver
4100,2010,hyundai,,4 cylinders,gas,130206,rebuilt,manual,fwd,wagon,grey
7980,2015,kia,,4 cylinders,gas,121682,,automatic,fwd,sedan,black
9980,2013,infiniti,,6 cylinders,gas,171226,,automatic,fwd,SUV,white
19500,2008,ram,good,6 cylinders,diesel,161000,clean,manual,4wd,truck,silver
2300,1997,buick,,6 cylinders,gas,201566,clean,automatic,fwd,sedan,green
10980,2007,gmc,,8 cylinders,gas,181633,,automatic,,SUV,black
15000,2009,toyota,good,6 cylinders,gas,213800,clean,automatic,4wd,truck,silver
14897,2012,jeep,,6 cylinders,gas,112510,clean,other,rwd,SUV,silver
11400,2013,kia,,4 cylinders,gas,92986,clean,other,4wd,SUV,blue
